A,,,,,,,,
barometric pressure (n)                                                                                                                                                                                                                                                                                                                                                                   /ˌbær.əʊˈmet.rɪk ˈpreʃ.ər/,,,,,,tekanan barometric,tekanan udara,
,,,,,,,,
,,,,,,,,
battery positive voltage (B+) (n)                                                                                                                                                                                                                                                                                                                 /ˈbæt.ər.i ˈpɒz.ə.tɪv ˈvɒl.tɪdʒ/,,,,,,tegangan baterai positif,kutub positif baterai,
,,,,,,,,
,,,,,,,,
bell crank (n)                                                                                                                                                                                                                                                                                                                                                     /bel kræŋk/,,,,,,engkol yang mengubah gerak melalui sudut,engkol bel,
,,,,,,,,
,,,,,,,,
bearing (n)                                                                                                                                                                                                                                                                                                                                                   /beə.rɪŋ/,,,,,,bantalan,klahar,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure B.1 Bearing (source: GridOto.com),,,,,,,,
,,,,,,,,
bearing cup (n)                                                                                                                                                                                                                                                                                                                                                       /ˈbeərɪŋ kʌp/,,,,,,mangkok pelor,tempat pelor,
,,,,,,,,
,,,,,,,,
bearing journal (n)                                                                                                                                                                                                                                                                                                                                       /ˈbeə.rɪŋ ˈdʒɜː.nəl/,,,,,,bantalan poros engkol,kruk as,
,,,,,,,,
,,,,,,,,
balance (n)                                                                                                                                                                                                                                                                                                                                                       /ˈbæləns/,,,,,,penyeimbang,penyeimbang,
,,,,,,,,
,,,,,,,,
battery (n)                                                                                                                                                                                                                                                                                                                                                        /ˈbætəri/,,,,,,aki,aki,
,,,,,,,,
,,,,,,,,
belt (n)                                                                                                                                                                                                                                                                                                                                                                 /ˈbelt/,,,,,,sabuk,sabuk,
,,,,,,,,
,,,,,,,,
belt drive (n)                                                                                                                                                                                                                                                                                                                                                    /ˈbelt draɪv /,,,,,,"sabuk penghubung, tali puli","sabuk penghubung, tali puli",
,,,,,,,,
,,,,,,,,
belted radial tire (n)                                                                                                                                                                                                                                                                                                                         /beltuhd ˈreɪ·di·əl ˈtɑɪər/,,,,,,ban radial bersabuk,lapisan ban radial,
,,,,,,,,
,,,,,,,,
bold (n)                                                                                                                                                                                                                                                                                                                                                              /bəʊld/,,,,,,baut,baut,
,,,,,,,,
,,,,,,,,
bonnet (n)                                                                                                                                                                                                                                                                                                                                                          /ˈbɒnɪt/,,,,,,penutup mesin,penutup mesin,
,,,,,,,,
,,,,,,,,
bosch pump (n)                                                                                                                                                                                                                                                                                                                                      /bosh pʌmp/,,,,,,pompa bosch,bospom,
,,,,,,,,
,,,,,,,,
block cylinder (n)                                                                                                                                                                                                                                                                                                                                   /blɒk ˈsɪlɪndə® /,,,,,,blok silinder,blok silinder,
,,,,,,,,
,,,,,,,,
blow-by (n)                                                                                                                                                                                                                                                                                                                                                 /bləʊ baɪ/,,,,,,proses kebocoran kompresi melalui ring piston,proses kebocoran kompresi melalui ring piston,
,,,,,,,,
,,,,,,,,
blower (n)                                                                                                                                                                                                                                                                                                                                                          /ˈbləʊə(r)/,,,,,,kipas pendingin,kipas pendingin,
,,,,,,,,
,,,,,,,,
bracket (n)                                                                                                                                                                                                                                                                                                                                                     /ˈbræk.ɪt/,,,,,,dudukan,dudukan,
,,,,,,,,
,,,,,,,,
brake (n)                                                                                                                                                                                                                                                                                                                                                       /breɪk/,,,,,,rem,rem,
,,,,,,,,
,,,,,,,,
brake hose (n)                                                                                                                                                                                                                                                                                                                                                     /breɪk həʊz/,,,,,,"selang rem, kabel rem",tali rem,
,,,,,,,,
,,,,,,,,
brake light (n)                                                                                                                                                                                                                                                                                                                                                             /ˈbreɪk laɪt /,,,,,,lampu rem,lampu rem,
,,,,,,,,
,,,,,,,,
brake pad (n)                                                                                                                                                                                                                                                                                                                                                              /ˈbreɪk ˌpæd/,,,,,,kampas rem cakram,kampas rem cakram,
,,,,,,,,
,,,,,,,,
brake shoe (n)                                                                                                                                                                                                                                                                                                                                              /breɪk ʃuː/,,,,,,sepatu rem,kampas rem tromol,
,,,,,,,,
,,,,,,,,
brass (n)                                                                                                                                                                                                                                                                                                                                                       /brɑːs/,,,,,,kuningan,kuningan,
,,,,,,,,
,,,,,,,,
breaker bar (n)                                                                                                                                                                                                                                                                                                                                                 /ˈbreɪ.kər bɑːr/,,,,,,batang universal,batang universal,
,,,,,,,,
,,,,,,,,
body (n)                                                                                                                                                                                                                                                                                                                                                              /ˈbɒdi /,,,,,,bok kendaraan,tebeng,
,,,,,,,,
,,,,,,,,
bore (n)                                                                                                                                                                                                                                                                                                                                                        /bɔːr/,,,,,,diameter silinder,diameter silinder,
,,,,,,,,
,,,,,,,,
bulb (n)                                                                                                                                                                                                                                                                                                                                                               /bʌlb/,,,,,,bola lampu,bolam,
,,,,,,,,
,,,,,,,,
bumper (n)                                                                                                                                                                                                                                                                                                                                                         /ˈbʌmpə(r)/,,,,,,batang besi atau plastik yang melintang pada bagian depan dan belakang mobil,bemper,
,,,,,,,,
,,,,,,,,
,,,,,,,,
bushing (n)                                                                                                                                                                                                                                                                                                                                                 /bʊʃɪŋ/,,,,,,bantalan besi bercelah,bantalan besi,
,,,,,,,,
C,,,,,,,,
English,,,,,Indonesia,,Local,
cable (n)                                                                                                                                                                                                                                                                                                                                                           /ˈkeɪbl /,,,,,kabel,,kabel,
,,,,,,,,
,,,,,,,,
califer (n)                                                                                                                                                                                                                                                                                                                                                            /ˈkælɪpə(r)/,,,,,kaliper cakram,,pala babi,
,,,,,,,,
,,,,,,,,
cam angle (n)                                                                                                                                                                                                                                                                                                                                           /kæm ˈæŋ.ɡəl/,,,,,sudut cam,,derajat pengapian,
,,,,,,,,
,,,,,,,,
camber (n)                                                                                                                                                                                                                                                                                                                                                       /ˈkæm.bər/,,,,,sudut kemiringan roda,,sudut kemiringan roda,
,,,,,,,,
,,,,,,,,
"cam chain (n)
/kæm tʃeɪn/",,,,,kamrat,,"rantai keteng, rantai kamrat",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure C.1 Cam chain (source: starmoto.com),,,,,,,,
,,,,,,,,
camshaft (n)                                                                                                                                                                                                                                                                                                                                                        /ˈkæm.ʃɑːft/,,,,,poros bubungan,,noken as,
,,,,,,,,
,,,,,,,,
canister (n)                                                                                                                                                                                                                                                                                                                                                          /ˈkæn.ɪ.stər/,,,,,saringan oli,,filter masker,
,,,,,,,,
,,,,,,,,
car body (n)                                                                                                                                                                                                                                                                                                                                                /kɑː(r) ˈbɒdi/,,,,,bodi mobil,,tebeng mobil,
,,,,,,,,
,,,,,,,,
car engine (n)                                                                                                                                                                                                                                                                                                                                                    /kɑː(r) ˈendʒɪn/,,,,,mesin mobil,,mesin mobil,
,,,,,,,,
,,,,,,,,
car radio (n)                                                                                                                                                                                                                                                                                                                                                       / kɑː(r) ˈreɪdiəʊ/,,,,,radio mobil,,audio mobil,
,,,,,,,,
,,,,,,,,
carter (n)                                                                                                                                                                                                                                                                                                                                                      /ˈkɑːtə(r)/,,,,,bak oli,,bak oli,
,,,,,,,,
,,,,,,,,
cartridge (n)                                                                                                                                                                                                                                                                                                                                                  /ˈkɑːtrɪdʒ/,,,,,saringan oli,,filter masker,
,,,,,,,,
,,,,,,,,
car battery (n)                                                                                                                                                                                                                                                                                                                                           /kɑː(r) ˈbætəri/,,,,,accu mobil,,aki mobil,
,,,,,,,,
,,,,,,,,
carbon brush (n)                                                                                                                                                                                                                                                                                                                                              /ˈkɑː.bən brʌʃ/,,,,,sikat karbon,,kolboster,
,,,,,,,,
,,,,,,,,
carburettor (n)                                                                                                                                                                                                                                                                                                                                                    /ˌkɑːbəˈretə(r)/,,,,,karburator,,karburator,
,,,,,,,,
,,,,,,,,
caster angle (n)                                                                                                                                                                                                                                                                                                                                                /ˈkɑː.stər ˈæŋ.ɡəl/,,,,,sudut kastor,,sudut kastor,
,,,,,,,,
,,,,,,,,
catalyst (n)                                                                                                                                                                                                                                                                                                                                                               /ˈkæt.əl.ɪst/,,,,,katalis knalpot,,gentong knalpot,
,,,,,,,,
,,,,,,,,
chain (n)                                                                                                                                                                                                                                                                                                                                                       /tʃeɪn/,,,,,rantai,,rantai,
,,,,,,,,
,,,,,,,,
chaincase (n)                                                                                                                                                                                                                                                                                                                                                                 /tʃeɪn keɪs/,,,,,kotak rantai,,ketengkas,
,,,,,,,,
,,,,,,,,
Charge Air Cooler (CAC) (n)                                                                                                                                                                                                                                                                                                             /tʃɑːdʒ ˈeəˌkuː.lər/,,,,,pengisian pendingin udara,,tambahan pendingin udara,
,,,,,,,,
,,,,,,,,
chassis (n)                                                                                                                                                                                                                                                                                                                                                                                                         /ˈʃæs.i/,,,,,kerangka mobil,,kerangka mobil,
,,,,,,,,
,,,,,,,,
chiller (n)                                                                                                                                                                                                                                                                                                                                                             / tʃɪl.ər/,,,,,pendingin,,pendingin,
,,,,,,,,
,,,,,,,,
chipping hammer (n)                                                                                                                                                                                                                                                                                                                                        /ˈtʃɪp.ɪŋ ˈhæm.ər/,,,,,palu terak,,tukul terak,
,,,,,,,,
,,,,,,,,
chisels (n)                                                                                                                                                                                                                                                                                                                                                                /ˈtʃɪzl/,,,,,pahat,,pahat,
,,,,,,,,
,,,,,,,,
choke (n)                                                                                                                                                                                                                                                                                                                                                          /tʃəʊk/,,,,,sebuah sistem pada karburator mesin baik motor atau mobil yang bertujuan untuk mendukung kinerja mesin saat kondisi mesin masih dingin,,stel bensin,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
closed throttle position (n)                                                                                                                                                                                                                                                                                                               /kləʊzd ˈθrɒt.əl pəˈzɪʃ.ən/,,,,,posisi trotel tertutup,,posisi gas tertutup,
,,,,,,,,
,,,,,,,,
clutch (n)                                                                                                                                                                                                                                                                                                                                                           /klʌtʃ /,,,,,pedal kopling,,kopling,
,,,,,,,,
,,,,,,,,
clutch cover (n)                                                                                                                                                                                                                                                                                                                                                  /klʌtʃ ˈkʌv.ər/,,,,,"penutup kopling, bak kopling",,blok kopling,
,,,,,,,,
,,,,,,,,
clutch pedal position (n)                                                                                                                                                                                                                                                                                                                      /klʌtʃ ˈped.əl pəˈzɪʃ.ən/,,,,,posisi pedal kopling,,posisi pedal kopling,
,,,,,,,,
,,,,,,,,
clutch pilot bearing (n)                                                                                                                                                                                                                                                                                                                         / klʌtʃ ˈpaɪ.lət beə.rɪŋ/,,,,,bantalan pilot kopling,,dreg/drag leher,
,,,,,,,,
,,,,,,,,
cogwheel (n)                                                                                                                                                                                                                                                                                                                                                     /ˈkɒɡwiːl/,,,,,"roda bergigi, gir",,gir minion,
,,,,,,,,
,,,,,,,,
coil (n)                                                                                                                                                                                                                                                                                                                                                                      /kɔɪl/,,,,,,lilitan kumparan,,koil
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure C.2 Coil (source: GridOto.com),,,,,,,,
,,,,,,,,
combination spanner (n)                                                                                                                                                                                                                                                                                                                             /ˌkɒm.bɪˈneɪ.ʃən ˈspæn.ər/,,,,,kunci pas-ring,,kunci kombinasi ring-pas,
,,,,,,,,
,,,,,,,,
combustion chamber (n)                                                                                                                                                                                                                                                                                                                     /kəmˈbʌs.tʃən ˌtʃeɪm.bər/,,,,,ruang bakar,,ruang bakar,
,,,,,,,,
,,,,,,,,
compressor (n)                                                                                                                                                                                                                                                                                                                                  /kəmˈpres.ər/,,,,,kompresor,,kompresor,
,,,,,,,,
,,,,,,,,
connecting rod (n)                                                                                                                                                                                                                                                                                                                                      /kəˈnektɪŋ rɒd/,,,,,batang torak,,engkol,
,,,,,,,,
,,,,,,,,
